model,category,metric,estimate,ci_low,ci_high,n_scenes,n_finite
pixart_sigma,count,empirical_worst_accuracy,0.22395833333333334,0.11966145833333335,0.3333333333333333,24,24
pixart_sigma,count,crossfit_worst_accuracy,0.3333333333333333,0.21354166666666666,0.46875,24,24
pixart_sigma,count,all_wordings_accuracy,0.18229166666666666,0.09375,0.2916666666666667,24,24
pixart_sigma,count,wording_disagreement,0.1961805555555555,0.14496527777777776,0.24913194444444442,24,24
pixart_sigma,count,seed_disagreement,0.27976190476190477,0.21278831845238094,0.3415271577380952,24,24
pixart_sigma,count,variance_wording,0.011555989583333334,0.00732421875,0.01578877766927083,24,24
pixart_sigma,count,variance_seed,0.060384114583333336,0.042928059895833336,0.07865498860677084,24,24
pixart_sigma,count,variance_interaction,0.06201171875,0.045409138997395834,0.07816670735677084,24,24
pixart_sigma,count,variance_total,0.13395182291666666,0.09943440755208333,0.1641845703125,24,24
pixart_sigma,count,semantic_jsd,0.025354550868241593,0.017821413564299296,0.033213479511569076,24,24
pixart_sigma,count,valid_diversity,0.25362998312502577,0.21044022875690932,0.299072981338229,24,19
pixart_sigma,count,censored_rate,0.0,0.0,0.0,24,24
pixart_sigma,count,black_rate,0.0,0.0,0.0,24,24
pixart_sigma,count,uncensored_accuracy,0.3411458333333333,0.22526041666666666,0.46875,24,24
pixart_sigma,existence,mean_accuracy,0.96484375,0.9453125,0.9830729166666666,24,24
pixart_sigma,existence,empirical_worst_accuracy,0.8854166666666666,0.8229166666666666,0.9427083333333334,24,24
pixart_sigma,existence,crossfit_worst_accuracy,0.953125,0.890625,1.0,24,24
pixart_sigma,existence,all_wordings_accuracy,0.8645833333333334,0.7864583333333334,0.9322916666666666,24,24
pixart_sigma,existence,wording_disagreement,0.03428819444444444,0.016927083333333332,0.053830295138888824,24,24
pixart_sigma,existence,seed_disagreement,0.028831845238095236,0.015811011904761904,0.044642857142857144,24,24
pixart_sigma,existence,variance_wording,0.00335693359375,0.0009358723958333334,0.0071624755859374944,24,24
pixart_sigma,existence,variance_seed,0.00311279296875,0.001708984375,0.005045572916666667,24,24
pixart_sigma,existence,variance_interaction,0.009501139322916666,0.005208333333333333,0.0146484375,24,24
pixart_sigma,existence,variance_total,0.015970865885416668,0.008115641276041667,0.024576822916666668,24,24
pixart_sigma,existence,semantic_jsd,0.015139639475385722,0.006056659143722984,0.028284146924676453,24,24
pixart_sigma,existence,valid_diversity,0.2907989991363138,0.24963245916490753,0.332328210218111,24,24
pixart_sigma,existence,censored_rate,0.0,0.0,0.0,24,24
pixart_sigma,existence,black_rate,0.0,0.0,0.0,24,24
pixart_sigma,existence,uncensored_accuracy,0.96484375,0.9440104166666666,0.9817708333333334,24,24
pixart_sigma,spatial,mean_accuracy,0.3541666666666667,0.2565104166666667,0.44921875,24,24
pixart_sigma,spatial,empirical_worst_accuracy,0.20833333333333334,0.125,0.3020833333333333,24,24
pixart_sigma,spatial,crossfit_worst_accuracy,0.3177083333333333,0.203125,0.4375,24,24
pixart_sigma,spatial,all_wordings_accuracy,0.13541666666666666,0.07291666666666667,0.21875,24,24
pixart_sigma,spatial,wording_disagreement,0.2540509259259259,0.21846064814814814,0.2881944444444444,24,24
pixart_sigma,spatial,seed_disagreement,0.3003472222222222,0.25818142361111107,0.3436352926587301,24,24
pixart_sigma,spatial,variance_wording,0.019694010416666668,0.014797295464409723,0.025283474392361102,24,24
pixart_sigma,spatial,variance_seed,0.055826822916666664,0.04577399359809028,0.0659725613064236,24,24
pixart_sigma,spatial,variance_interaction,0.07557508680555557,0.06614786783854167,0.08497483995225695,24,24
pixart_sigma,spatial,variance_total,0.15109592013888887,0.13045247395833334,0.17129448784722218,24,24
pixart_sigma,spatial,semantic_jsd,0.09151825564072202,0.07154528019982845,0.1121859499262565,24,24
pixart_sigma,spatial,valid_diversity,0.3147203599413236,0.2541775246650947,0.3767337451861413,24,18
pixart_sigma,spatial,censored_rate,0.0,0.0,0.0,24,24
pixart_sigma,spatial,black_rate,0.0,0.0,0.0,24,24
pixart_sigma,spatial,uncensored_accuracy,0.3541666666666667,0.2552083333333333,0.4518229166666667,24,24
sd15,all,mean_accuracy,0.24381510416666666,0.21092936197916665,0.27670084635416664,96,96
sd15,all,empirical_worst_accuracy,0.15494791666666666,0.11845703125,0.19140625000000003,96,96
sd15,all,crossfit_worst_accuracy,0.23567708333333334,0.19270833333333331,0.2760742187499998,96,96
sd15,all,all_wordings_accuracy,0.10026041666666667,0.06770833333333333,0.13411458333333331,96,96
sd15,all,wording_disagreement,0.2751916956018518,0.253797290943287,0.29539252387152776,96,96
sd15,all,seed_disagreement,0.3171115451388889,0.29763222346230156,0.33695455884176584,96,96
sd15,all,variance_wording,0.022922939724392362,0.019872792561848956,0.02636214362250434,96,96
sd15,all,variance_seed,0.058462354871961816,0.053809971279568145,0.06331314510769313,96,96
sd15,all,variance_interaction,0.08027394612630209,0.07412921057807076,0.08667083316379123,96,96
sd15,all,variance_total,0.16165924072265625,0.15179047054714626,0.17180002000596786,96,96
sd15,all,semantic_jsd,0.08052203542480485,0.0733471957164896,0.08811454933635292,96,96
sd15,all,valid_diversity,0.5465551029025977,0.5212103612863253,0.5748053905872872,96,53
sd15,all,censored_rate,0.00390625,0.0016276041666666665,0.006510416666666667,96,96
sd15,all,black_rate,0.00390625,0.0016276041666666665,0.006835937499999999,96,96
sd15,all,uncensored_accuracy,0.24417422715053766,0.21108463191644264,0.2780160205253136,96,96
sd15,color_binding,mean_accuracy,0.016927083333333332,0.0078125,0.028645833333333332,24,24
sd15,color_binding,empirical_worst_accuracy,0.0,0.0,0.0,24,24
sd15,color_binding,crossfit_worst_accuracy,0.015625,0.0,0.041666666666666664,24,24
sd15,color_binding,all_wordings_accuracy,0.0,0.0,0.0,24,24
sd15,color_binding,wording_disagreement,0.34526909722222215,0.31249457465277775,0.3767415364583333,24,24
sd15,color_binding,seed_disagreement,0.33007812499999994,0.3029180617559523,0.3574242001488095,24,24
sd15,color_binding,variance_wording,0.037424723307291664,0.02941869099934896,0.046468861897786456,24,24
sd15,color_binding,variance_seed,0.052357991536458336,0.04729181925455729,0.057373046875,24,24
sd15,color_binding,variance_interaction,0.09205118815104167,0.08374989827473958,0.1005762736002604,24,24
sd15,color_binding,variance_total,0.18183390299479166,0.16696141560872396,0.19637095133463542,24,24
sd15,color_binding,semantic_jsd,0.13382941229564874,0.11548579953980415,0.1522919332912529,24,24
sd15,color_binding,valid_diversity,0.78729248046875,0.78729248046875,0.78729248046875,24,1
sd15,color_binding,censored_rate,0.009114583333333334,0.0026041666666666665,0.016927083333333332,24,24
sd15,color_binding,black_rate,0.009114583333333334,0.0026041666666666665,0.018229166666666668,24,24
sd15,color_binding,uncensored_accuracy,0.017226702508960575,0.007899305555555555,0.027983170922939064,24,24
sd15,count,mean_accuracy,0.29296875,0.21744791666666666,0.37109375,24,24
sd15,count,empirical_worst_accuracy,0.15625,0.08841145833333335,0.234375,24,24
sd15,count,crossfit_worst_accuracy,0.2760416666666667,0.1875,0.3697916666666667,24,24
sd15,count,all_wordings_accuracy,0.057291666666666664,0.015625,0.10950520833333262,24,24
sd15,count,wording_disagreement,0.3064236111111111,0.24648437499999998,0.3619791666666667,24,24
sd15,count,seed_disagreement,0.3337053571428572,0.27566964285714285,0.38691406249999993,24,24
sd15,count,variance_wording,0.019816080729166668,0.012816365559895834,0.02807820638020832,24,24
sd15,count,variance_seed,0.0509033203125,0.03869425455729167,0.06298828125,24,24
sd15,count,variance_interaction,0.0950927734375,0.077020263671875,0.11328328450520832,24,24
sd15,count,variance_total,0.16581217447916666,0.13760884602864581,0.19202067057291664,24,24
sd15,count,semantic_jsd,0.03998466170231249,0.02705735953845305,0.05458033797732289,24,24
sd15,count,valid_diversity,0.3986960434251361,0.3312355895807582,0.4618308647757485,24,21
sd15,count,censored_rate,0.0,0.0,0.0,24,24
sd15,count,black_rate,0.0,0.0,0.0,24,24
sd15,count,uncensored_accuracy,0.29296875,0.21614583333333334,0.37890625,24,24
sd15,existence,mean_accuracy,0.5859375,0.4921549479166667,0.6861979166666666,24,24
sd15,existence,empirical_worst_accuracy,0.421875,0.3125,0.5416666666666666,24,24
sd15,existence,crossfit_worst_accuracy,0.5625,0.4270833333333333,0.6876302083333327,24,24
sd15,existence,all_wordings_accuracy,0.3229166666666667,0.20833333333333334,0.4479166666666667,24,24
sd15,existence,wording_disagreement,0.1953125,0.15538194444444445,0.23567708333333334,24,24
sd15,existence,seed_disagreement,0.2228422619047619,0.1837797619047619,0.25985863095238093,24,24
sd15,existence,variance_wording,0.0186767578125,0.013671366373697917,0.02437388102213541,24,24
sd15,existence,variance_seed,0.042928059895833336,0.03485056559244792,0.051128641764322906,24,24
sd15,existence,variance_interaction,0.0545654296875,0.0439849853515625,0.06628468831380208,24,24
sd15,existence,variance_total,0.11617024739583333,0.09427846272786458,0.13778381347656246,24,24
sd15,existence,semantic_jsd,0.061427717097434824,0.045899948755584806,0.07725824030360744,24,24
sd15,existence,valid_diversity,0.5091046816152004,0.4668281180447796,0.5540168465710142,24,24
sd15,existence,censored_rate,0.0026041666666666665,0.0,0.006510416666666667,24,24
sd15,existence,black_rate,0.0026041666666666665,0.0,0.006510416666666667,24,24
sd15,existence,uncensored_accuracy,0.5869875672043011,0.4934423303091398,0.6867565524193548,24,24
sd15,spatial,mean_accuracy,0.07942708333333333,0.045572916666666664,0.125,24,24
sd15,spatial,empirical_worst_accuracy,0.041666666666666664,0.010416666666666666,0.08333333333333333,24,24
sd15,spatial,crossfit_worst_accuracy,0.08854166666666667,0.046875,0.13541666666666666,24,24
sd15,spatial,all_wordings_accuracy,0.020833333333333332,0.0,0.046875,24,24
sd15,spatial,wording_disagreement,0.253761574074074,0.23466435185185183,0.2748914930555555,24,24
sd15,spatial,seed_disagreement,0.3818204365079365,0.34697420634920634,0.4140625,24,24
sd15,spatial,variance_wording,0.015774197048611112,0.01254611545138889,0.018934800889756943,24,24
sd15,spatial,variance_seed,0.08766004774305557,0.07519395616319445,0.09894578721788196,24,24
sd15,spatial,variance_interaction,0.07938639322916667,0.07299736870659722,0.08668382432725692,24,24
sd15,spatial,variance_total,0.18282063802083334,0.16859198676215278,0.1966969807942708,24,24
sd15,spatial,semantic_jsd,0.08684635060382333,0.07806534984884068,0.09559910131650885,24,24
sd15,spatial,valid_diversity,0.491127206101304,0.42701624312571124,0.5748708177180516,24,7
sd15,spatial,censored_rate,0.00390625,0.0,0.010416666666666666,24,24
sd15,spatial,black_rate,0.00390625,0.0,0.010416666666666666,24,24
sd15,spatial,uncensored_accuracy,0.07951388888888888,0.04175130208333333,0.12268446180555541,24,24
sdxl,all,mean_accuracy,0.21321614583333334,0.18716634114583333,0.2392578125,96,96
sdxl,all,empirical_worst_accuracy,0.12109375,0.09505208333333334,0.14713541666666666,96,96
sdxl,all,crossfit_worst_accuracy,0.18359375,0.14973958333333334,0.22005208333333331,96,96
sdxl,all,all_wordings_accuracy,0.0859375,0.059895833333333336,0.11201171874999982,96,96
sdxl,all,wording_disagreement,0.23254846643518515,0.216333912037037,0.24826479311342586,96,96
sdxl,all,seed_disagreement,0.3316514756944444,0.31126708984375,0.3540436275421627,96,96
sdxl,all,variance_wording,0.015224032931857638,0.013217332628038196,0.01746811336941189,96,96
sdxl,all,variance_seed,0.07311587863498263,0.06592612796359593,0.08071043226453992,96,96
sdxl,all,variance_interaction,0.0719816419813368,0.06677773793538412,0.0773866441514757,96,96
sdxl,all,variance_total,0.1603215535481771,0.15100864834255642,0.16997445424397786,96,96
sdxl,all,semantic_jsd,0.06454142432830803,0.05872738137916941,0.0702704917400407,96,96
sdxl,all,valid_diversity,0.5594860483823275,0.5109890292175502,0.6092572724136214,96,51
sdxl,all,censored_rate,0.0,0.0,0.0,96,96
sdxl,all,black_rate,0.0,0.0,0.0,96,96
sdxl,all,uncensored_accuracy,0.21321614583333334,0.1884765625,0.24056803385416664,96,96
sdxl,color_binding,mean_accuracy,0.018229166666666668,0.010416666666666666,0.02734375,24,24
sdxl,color_binding,empirical_worst_accuracy,0.0,0.0,0.0,24,24
sdxl,color_binding,crossfit_worst_accuracy,0.0,0.0,0.0,24,24
sdxl,color_binding,all_wordings_accuracy,0.0,0.0,0.0,24,24
sdxl,color_binding,wording_disagreement,0.2927517361111111,0.26778971354166664,0.3175021701388888,24,24
sdxl,color_binding,seed_disagreement,0.35946800595238093,0.33007579985119045,0.3886788504464285,24,24
sdxl,color_binding,variance_wording,0.022959391276041668,0.018809000651041668,0.02730356852213541,24,24
sdxl,color_binding,variance_seed,0.07044474283854167,0.06075973510742187,0.0795092264811198,24,24
sdxl,color_binding,variance_interaction,0.086822509765625,0.07812449137369791,0.09548975626627604,24,24
sdxl,color_binding,variance_total,0.18022664388020834,0.16642201741536458,0.1933392842610677,24,24
sdxl,color_binding,semantic_jsd,0.09881762915401249,0.08799031403959966,0.1104095712557308,24,24
sdxl,color_binding,valid_diversity,0.5131116807460785,0.3993796706199646,0.6268436908721924,24,2
sdxl,color_binding,censored_rate,0.0,0.0,0.0,24,24
sdxl,color_binding,black_rate,0.0,0.0,0.0,24,24
sdxl,color_binding,uncensored_accuracy,0.018229166666666668,0.009114583333333334,0.02734375,24,24
sdxl,count,mean_accuracy,0.17317708333333334,0.12890625,0.22265625,24,24
sdxl,count,empirical_worst_accuracy,0.057291666666666664,0.020833333333333332,0.09895833333333333,24,24
sdxl,count,crossfit_worst_accuracy,0.14583333333333334,0.08333333333333333,0.21354166666666666,24,24
sdxl,count,all_wordings_accuracy,0.03125,0.005208333333333333,0.06770833333333333,24,24
sdxl,count,wording_disagreement,0.2144097222222222,0.17013888888888887,0.2586805555555555,24,24
sdxl,count,seed_disagreement,0.2667410714285714,0.20832403273809524,0.3266462053571428,24,24
sdxl,count,variance_wording,0.011922200520833334,0.006917317708333333,0.018961588541666668,24,24
sdxl,count,variance_seed,0.0482177734375,0.03189493815104166,0.06791178385416667,24,24
sdxl,count,variance_interaction,0.0684814453125,0.056151326497395834,0.08178914388020832,24,24
sdxl,count,variance_total,0.12862141927083334,0.10103047688802083,0.15576680501302081,24,24
sdxl,count,semantic_jsd,0.029078968566258603,0.018033068301774195,0.04180095939751202,24,24
sdxl,count,valid_diversity,0.5294296921541293,0.46023625813735025,0.5973748708570686,24,16
sdxl,count,censored_rate,0.0,0.0,0.0,24,24
sdxl,count,black_rate,0.0,0.0,0.0,24,24
sdxl,count,uncensored_accuracy,0.17317708333333334,0.12630208333333334,0.22265625,24,24
sdxl,existence,mean_accuracy,0.5598958333333334,0.47265625,0.6445963541666663,24,24
sdxl,existence,empirical_worst_accuracy,0.3802083333333333,0.2864583333333333,0.46875,24,24
sdxl,existence,crossfit_worst_accuracy,0.484375,0.3697916666666667,0.5886718749999993,24,24
sdxl,existence,all_wordings_accuracy,0.28125,0.19270833333333334,0.3699218749999993,24,24
sdxl,existence,wording_disagreement,0.20138888888888887,0.16970486111111108,0.23350694444444442,24,24
sdxl,existence,seed_disagreement,0.2894345238095238,0.2514834449404762,0.32777622767857123,24,24
sdxl,existence,variance_wording,0.014892578125,0.011189778645833334,0.019266764322916668,24,24
sdxl,existence,variance_seed,0.06599934895833333,0.05389200846354167,0.07812906901041665,24,24
sdxl,existence,variance_interaction,0.060628255208333336,0.051676432291666664,0.07023162841796875,24,24
sdxl,existence,variance_total,0.14152018229166666,0.12389678955078125,0.15895792643229167,24,24
sdxl,existence,semantic_jsd,0.06019600404250719,0.04844032164017688,0.07292811050300581,24,24
sdxl,existence,valid_diversity,0.566844989028242,0.5290891211272942,0.6064559537348233,24,24
sdxl,existence,censored_rate,0.0,0.0,0.0,24,24
sdxl,existence,black_rate,0.0,0.0,0.0,24,24
sdxl,existence,uncensored_accuracy,0.5598958333333334,0.4791341145833333,0.6419596354166666,24,24
sdxl,spatial,mean_accuracy,0.1015625,0.0625,0.1484375,24,24
sdxl,spatial,empirical_worst_accuracy,0.046875,0.020833333333333332,0.078125,24,24
sdxl,spatial,crossfit_worst_accuracy,0.10416666666666667,0.057291666666666664,0.15625,24,24
sdxl,spatial,all_wordings_accuracy,0.03125,0.010416666666666666,0.0625,24,24
sdxl,spatial,wording_disagreement,0.2216435185185185,0.1976273148148148,0.2476924189814814,24,24
sdxl,spatial,seed_disagreement,0.41096230158730157,0.3732576884920634,0.4444444444444444,24,24
sdxl,spatial,variance_wording,0.011121961805555554,0.008843315972222222,0.013712904188368054,24,24
sdxl,spatial,variance_seed,0.10780164930555554,0.09050665961371528,0.1252858479817708,24,24
sdxl,spatial,variance_interaction,0.0719943576388889,0.06340806749131944,0.08028564453124998,24,24
sdxl,spatial,variance_total,0.19091796875,0.17378472222222224,0.20665215386284722,24,24
sdxl,spatial,semantic_jsd,0.07007309555045385,0.060285922587110206,0.07976875758304978,24,24
sdxl,spatial,valid_diversity,0.6285578316008603,0.5272457081548594,0.7372661997736604,24,9
sdxl,spatial,censored_rate,0.0,0.0,0.0,24,24
sdxl,spatial,black_rate,0.0,0.0,0.0,24,24
sdxl,spatial,uncensored_accuracy,0.1015625,0.059895833333333336,0.14583333333333334,24,24
