n,tp,tn,fp,fn,accuracy,precision,recall,specificity,balanced_accuracy,cohen_kappa,n_atoms,atomic_tp,atomic_tn,atomic_fp,atomic_fn,atomic_accuracy,atomic_precision,atomic_recall,atomic_specificity,atomic_balanced_accuracy,atomic_cohen_kappa,atomic_exact_agreement,mean_image_atomic_accuracy,machine_joint_positive_rate,human_joint_positive_rate,scope,model,category
128,89,30,8,1,0.9296875,0.9175257731958762,0.9888888888888889,0.7894736842105263,0.8891812865497076,0.8221124150710315,256,201,31,17,7,0.90625,0.9220183486238532,0.9663461538461539,0.6458333333333334,0.8060897435897436,0.6655052264808362,0.8671875,0.90625,0.7578125,0.703125,model_category,sdxl,existence
128,10,97,4,17,0.8359375,0.7142857142857143,0.37037037037037035,0.9603960396039604,0.6653832049871653,0.40160284951024044,384,117,206,16,45,0.8411458333333334,0.8796992481203008,0.7222222222222222,0.9279279279279279,0.825075075075075,0.6662677380748847,0.6328125,0.8411458333333333,0.109375,0.2109375,model_category,sdxl,spatial
512,205,166,21,120,0.724609375,0.9070796460176991,0.6307692307692307,0.8877005347593583,0.7592348827642945,0.4660828920510014,1280,845,195,32,208,0.8125,0.9635119726339795,0.8024691358024691,0.8590308370044053,0.8307499864034372,0.5072485154899125,0.65234375,0.8053385416666666,0.44140625,0.634765625,model_all,pixart_sigma,all
512,120,307,22,63,0.833984375,0.8450704225352113,0.6557377049180327,0.9331306990881459,0.7944342020030893,0.6196735064844269,1280,512,517,57,194,0.80390625,0.8998242530755711,0.7252124645892352,0.9006968641114983,0.8129546643503667,0.6122485432768668,0.630859375,0.80908203125,0.27734375,0.357421875,model_all,sd15,all
512,112,323,19,58,0.849609375,0.8549618320610687,0.6588235294117647,0.9444444444444444,0.8016339869281046,0.6402000511079473,1280,436,610,72,162,0.8171875,0.8582677165354331,0.7290969899665551,0.8944281524926686,0.8117625712296119,0.6293583067693587,0.65625,0.8201497395833334,0.255859375,0.33203125,model_all,sdxl,all
384,25,274,5,80,0.7786458333333334,0.8333333333333334,0.23809523809523808,0.982078853046595,0.6100870455709165,0.2832674571805008,1536,563,621,64,288,0.7708333333333334,0.89792663476874,0.6615746180963572,0.9065693430656935,0.7840719805810253,0.5505837643198062,0.3828125,0.7708333333333334,0.078125,0.2734375,all_models_category,all,color_binding
384,29,249,29,77,0.7239583333333334,0.5,0.27358490566037735,0.89568345323741,0.5846341794488937,0.19684293606945555,384,29,249,29,77,0.7239583333333334,0.5,0.27358490566037735,0.89568345323741,0.5846341794488937,0.19684293606945555,0.7239583333333334,0.7239583333333334,0.15104166666666666,0.2760416666666667,all_models_category,all,count
384,310,58,14,2,0.9583333333333334,0.9567901234567902,0.9935897435897436,0.8055555555555556,0.8995726495726496,0.8538812785388129,768,672,57,29,10,0.94921875,0.9586305278174037,0.9853372434017595,0.6627906976744186,0.824063970538089,0.7173806378561994,0.9244791666666666,0.94921875,0.84375,0.8125,all_models_category,all,existence
384,73,215,14,82,0.75,0.8390804597701149,0.47096774193548385,0.9388646288209607,0.7049161853782222,0.4410988811061584,1152,529,395,39,189,0.8020833333333334,0.9313380281690141,0.7367688022284122,0.9101382488479263,0.8234535255381692,0.6055173739606864,0.5546875,0.8020833333333334,0.2265625,0.4036458333333333,all_models_category,all,spatial
1536,437,796,62,241,0.802734375,0.875751503006012,0.644542772861357,0.9277389277389277,0.7861408503001424,0.5885816121948891,3840,1793,1322,161,564,0.8111979166666666,0.9176049129989765,0.7607127704709377,0.8914362778152394,0.8260745241430885,0.6208677443973132,0.646484375,0.8115234375,0.3248697916666667,0.44140625,overall,all,all
