model,model_id,case_id,category,variant_id,kind,seed,image_path,image_sha256,all_correct,atom_accuracy,semantic_state,atom_keys,atom_results,predictions,censored,black_image,alternate_correct,exclusive_control,elapsed_seconds,peak_allocated_bytes,audit_id
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_existence_023,existence,p2,equivalent,211,images/sd15/main_existence_023/p2/seed_211.png,4c8406925eca4d4ac4a00b33468f98dc26c4e5bcfaca05b2c2d9c38185f13e56,1,1.0,11,"[""exists:clock"", ""exists:dog""]","{""exists:clock"": true, ""exists:dog"": true}","{""colors"": {}, ""detections"": {""clock"": [{""box"": [18.850000381469727, 14.710000038146973, 488.5799865722656, 484.010009765625], ""score"": 0.7890368103981018}], ""dog"": [{""box"": [169.85000610351562, 113.33999633789062, 346.19000244140625, 376.20001220703125], ""score"": 0.6710957288742065}]}, ""relations"": {}}",0,0,,0,0.8241317099891603,3439791104,item_00010
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_existence_023,existence,p3,equivalent,211,images/sdxl/main_existence_023/p3/seed_211.png,25632886ff4188118ab0a4dc76da321216d7c1dd6f460c820dd50c42c669bae0,1,1.0,11,"[""exists:clock"", ""exists:dog""]","{""exists:clock"": true, ""exists:dog"": true}","{""colors"": {}, ""detections"": {""clock"": [{""box"": [25.40999984741211, 15.039999961853027, 503.0199890136719, 508.5899963378906], ""score"": 0.7055179476737976}], ""dog"": [{""box"": [106.76000213623047, 109.79000091552734, 428.9800109863281, 449.57000732421875], ""score"": 0.6581019163131714}]}, ""relations"": {}}",0,0,,0,1.512751306872815,8060311040,item_00011
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_count_016,count,p0,equivalent,173,images/sdxl/main_count_016/p0/seed_173.png,a7839c4e7a02def9e3ab8744f79acf70717e79d8f9459bf2bc33044f1df6b66e,0,0.0,0,"[""count:car=4""]","{""count:car=4"": false}","{""colors"": {}, ""detections"": {""car"": [{""box"": [173.58999633789062, 112.27999877929688, 382.30999755859375, 187.69000244140625], ""score"": 0.33976852893829346}, {""box"": [182.89999389648438, 222.69000244140625, 383.3500061035156, 287.5899963378906], ""score"": 0.30774855613708496}, {""box"": [-0.3400000035762787, 117.77999877929688, 89.97000122070312, 190.8000030517578], ""score"": 0.27449312806129456}, {""box"": [429.82000732421875, 222.42999267578125, 512.530029296875, 289.739990234375], ""score"": 0.2734316289424896}, {""box"": [430.3999938964844, 116.5, 512.6699829101562, 187.77000427246094], ""score"": 0.272787481546402}, {""box"": [0.4000000059604645, 220.7899932861328, 87.73999786376953, 290.760009765625], ""score"": 0.2534029483795166}]}, ""relations"": {}}",0,0,0.0,1,1.500334516167641,8061359616,item_00012
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_count_010,count,p3,equivalent,211,images/sdxl/main_count_010/p3/seed_211.png,787c9998f95eca2f288b9ade80163f865b2fb668e98ce13aba4143b2969d746e,0,0.0,0,"[""count:cup=4""]","{""count:cup=4"": false}","{""colors"": {}, ""detections"": {""cup"": []}, ""relations"": {}}",0,0,,1,1.501229166984558,8060573184,item_00013
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_color_binding_013,color_binding,p0,equivalent,101,images/pixart_sigma/main_color_binding_013/p0/seed_101.png,8675c57d857b50c991282bb6af0863f909b10aaf92df1cae571b42bb79368bc5,0,0.5,1001,"[""count:dog=1"", ""count:banana=1"", ""color:dog=blue"", ""color:banana=yellow""]","{""color:banana=yellow"": true, ""color:dog=blue"": false, ""count:banana=1"": false, ""count:dog=1"": true}","{""colors"": {""banana"": {""confidence"": 0.3010161221027374, ""label"": ""yellow"", ""margin"": 0.004862874746322632}, ""dog"": {""confidence"": 0.9672918915748596, ""label"": ""yellow"", ""margin"": 0.9526686072349548}}, ""detections"": {""banana"": [{""box"": [22.799999237060547, 237.2899932861328, 343.5299987792969, 460.760009765625], ""score"": 0.5613569021224976}, {""box"": [98.3499984741211, 240.02999877929688, 233.19000244140625, 400.5], ""score"": 0.31439757347106934}, {""box"": [21.520000457763672, 367.0400085449219, 156.07000732421875, 453.0899963378906], ""score"": 0.13070757687091827}], ""dog"": [{""box"": [242.07000732421875, 144.6199951171875, 415.32000732421875, 447.04998779296875], ""score"": 0.682589590549469}]}, ""relations"": {}}",0,0,0.0,1,0.9015790368430316,13622855168,item_00014
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_count_022,count,p0,equivalent,173,images/pixart_sigma/main_count_022/p0/seed_173.png,6ba5e35116cb5036ec452642cc66f92a3c8e298414a321c5e7f970c31faf8a24,0,0.0,0,"[""count:clock=4""]","{""count:clock=4"": false}","{""colors"": {}, ""detections"": {""clock"": [{""box"": [21.3799991607666, 262.6199951171875, 153.6699981689453, 393.3900146484375], ""score"": 0.6176274418830872}, {""box"": [366.3699951171875, 263.1199951171875, 492.2099914550781, 389.6099853515625], ""score"": 0.6106398105621338}, {""box"": [20.149999618530273, 79.70999908447266, 150.97999572753906, 219.9199981689453], ""score"": 0.5749496221542358}, {""box"": [173.02000427246094, 123.04000091552734, 342.9100036621094, 355.239990234375], ""score"": 0.5165044665336609}, {""box"": [355.489990234375, 58.38999938964844, 498.1400146484375, 226.4199981689453], ""score"": 0.5145443677902222}, {""box"": [369.6499938964844, 219.33999633789062, 487.19000244140625, 279.5], ""score"": 0.14807838201522827}, {""box"": [31.110000610351562, 214.3800048828125, 146.25999450683594, 274.55999755859375], ""score"": 0.12401865422725677}, {""box"": [10.34000015258789, 53.040000915527344, 504.1099853515625, 405.04998779296875], ""score"": 0.1089296042919159}]}, ""relations"": {}}",0,0,0.0,1,0.8614003052935004,13622855168,item_00015
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_count_010,count,p2,equivalent,101,images/pixart_sigma/main_count_010/p2/seed_101.png,56b17ffbac6d5e42004628f92e5aaa5122bf53ed39ff989986525ddfe9a7821e,0,0.0,0,"[""count:cup=4""]","{""count:cup=4"": false}","{""colors"": {}, ""detections"": {""cup"": [{""box"": [19.350000381469727, 264.2200012207031, 131.3800048828125, 388.42999267578125], ""score"": 0.627335250377655}, {""box"": [260.260009765625, 265.29998779296875, 375.260009765625, 387.54998779296875], ""score"": 0.626947820186615}, {""box"": [129.64999389648438, 264.6300048828125, 243.0800018310547, 387.239990234375], ""score"": 0.6151310801506042}, {""box"": [380.010009765625, 264.57000732421875, 494.9100036621094, 387.6199951171875], ""score"": 0.6132736206054688}, {""box"": [14.899999618530273, 261.1199951171875, 496.42999267578125, 391.260009765625], ""score"": 0.23375388979911804}, {""box"": [265.5799865722656, 390.8800048828125, 380.989990234375, 509.3500061035156], ""score"": 0.15522904694080353}, {""box"": [20.420000076293945, 391.3900146484375, 133.27000427246094, 509.1000061035156], ""score"": 0.14929157495498657}, {""box"": [382.7900085449219, 389.8699951171875, 494.2699890136719, 507.2099914550781], ""score"": 0.10258819162845612}]}, ""relations"": {}}",0,0,,1,0.8682116302661598,13622855168,item_00016
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_spatial_008,spatial,p2,equivalent,173,images/sd15/main_spatial_008/p2/seed_173.png,d91be10892b45f137118536e06fb3bee50bd81991950829063b778810b3f30d0,0,0.0,000,"[""count:car=1"", ""count:bicycle=1"", ""relation:car:left_of:bicycle""]","{""count:bicycle=1"": false, ""count:car=1"": false, ""relation:car:left_of:bicycle"": false}","{""colors"": {}, ""detections"": {""bicycle"": [{""box"": [355.1300048828125, 116.69000244140625, 415.9700012207031, 167.8800048828125], ""score"": 0.2794395983219147}, {""box"": [430.239990234375, 113.69999694824219, 510.6000061035156, 147.5], ""score"": 0.2269851416349411}, {""box"": [344.5299987792969, 91.80000305175781, 510.0199890136719, 198.8300018310547], ""score"": 0.18400998413562775}, {""box"": [323.5400085449219, 143.77000427246094, 398.5899963378906, 202.07000732421875], ""score"": 0.16313233971595764}], ""car"": [{""box"": [281.29998779296875, 136.5800018310547, 511.05999755859375, 344.8699951171875], ""score"": 0.36444470286369324}, {""box"": [55.400001525878906, 149.9199981689453, 280.010009765625, 344.54998779296875], ""score"": 0.3264123499393463}, {""box"": [434.2099914550781, 79.12000274658203, 511.95001220703125, 144.4499969482422], ""score"": 0.19721673429012299}, {""box"": [54.470001220703125, 155.2899932861328, 131.42999267578125, 251.1300048828125], ""score"": 0.13863739371299744}]}, ""relations"": {""relation:car:left_of:bicycle"": {""dx"": 0.020761698484420776, ""dy"": 0.1922656148672104}}}",0,0,,1,0.8250796706415713,3439791104,item_00017
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_existence_023,existence,p2,equivalent,11,images/sdxl/main_existence_023/p2/seed_11.png,7165c272af2408e328e27e6ef9e4b48a225d9176f47f57de2f6c56de152d9f73,1,1.0,11,"[""exists:clock"", ""exists:dog""]","{""exists:clock"": true, ""exists:dog"": true}","{""colors"": {}, ""detections"": {""clock"": [{""box"": [135.57000732421875, 121.68000030517578, 404.1400146484375, 382.1000061035156], ""score"": 0.6927284002304077}], ""dog"": [{""box"": [43.689998626708984, 287.9200134277344, 185.52000427246094, 407.80999755859375], ""score"": 0.6829323768615723}]}, ""relations"": {}}",0,0,,0,1.5207869950681925,8061359616,item_00018
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_spatial_011,spatial,p2,equivalent,101,images/sd15/main_spatial_011/p2/seed_101.png,2103b603897473f0939d3bd99f67e8e8d120d4a94a20e4c9d11e5ddbdd87de4e,0,0.6666666666666666,101,"[""count:clock=1"", ""count:cat=1"", ""relation:clock:above:cat""]","{""count:cat=1"": false, ""count:clock=1"": true, ""relation:clock:above:cat"": true}","{""colors"": {}, ""detections"": {""cat"": [{""box"": [0.25999999046325684, 274.1700134277344, 53.93000030517578, 439.8800048828125], ""score"": 0.4126037061214447}, {""box"": [445.5299987792969, 118.4800033569336, 511.04998779296875, 426.1099853515625], ""score"": 0.23349997401237488}], ""clock"": [{""box"": [66.79000091552734, 31.200000762939453, 434.7200012207031, 437.54998779296875], ""score"": 0.5803173780441284}]}, ""relations"": {""relation:clock:above:cat"": {""dx"": 0.43683593929745257, ""dy"": -0.23955081030726433}}}",0,0,,1,0.81706907087937,3439791104,item_00019
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_existence_011,existence,p0,equivalent,131,images/sd15/main_existence_011/p0/seed_131.png,7fdef5c2c6cad7b300c3a642d4f24da8d25f85622882324acd0320c9a62cbee2,1,1.0,11,"[""exists:clock"", ""exists:cat""]","{""exists:cat"": true, ""exists:clock"": true}","{""colors"": {}, ""detections"": {""cat"": [{""box"": [4.070000171661377, 355.2200012207031, 132.35000610351562, 512.3699951171875], ""score"": 0.7903968095779419}], ""clock"": [{""box"": [336.3699951171875, 251.99000549316406, 464.3500061035156, 441.92999267578125], ""score"": 0.637422502040863}]}, ""relations"": {}}",0,0,,0,0.8712194780819118,3439791104,item_00020
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_count_016,count,p3,equivalent,71,images/sdxl/main_count_016/p3/seed_71.png,61681ad4473b83050adfe1522f057c565cbd4e8150ced5d46eddbbc5b2c2bd90,0,0.0,0,"[""count:car=4""]","{""count:car=4"": false}","{""colors"": {}, ""detections"": {""car"": [{""box"": [193.92999267578125, 390.95001220703125, 445.6700134277344, 474.1099853515625], ""score"": 0.3079002797603607}, {""box"": [149.9600067138672, 95.22000122070312, 409.20001220703125, 162.27999877929688], ""score"": 0.29671216011047363}, {""box"": [-0.14000000059604645, 378.5400085449219, 160.5500030517578, 464.2799987792969], ""score"": 0.2948136031627655}, {""box"": [99.91999816894531, 222.77999877929688, 405.57000732421875, 303.6499938964844], ""score"": 0.276532381772995}, {""box"": [66.26000213623047, 136.47000122070312, 114.69999694824219, 161.1199951171875], ""score"": 0.24828685820102692}, {""box"": [432.1000061035156, 89.86000061035156, 512.2000122070312, 160.66000366210938], ""score"": 0.20063072443008423}, {""box"": [0.18000000715255737, 222.52999877929688, 81.8499984741211, 300.4700012207031], ""score"": 0.18594078719615936}, {""box"": [460.1099853515625, 411.0899963378906, 510.54998779296875, 470.2799987792969], ""score"": 0.1825939118862152}, {""box"": [424.8399963378906, 231.6199951171875, 512.989990234375, 300.92999267578125], ""score"": 0.17811253666877747}, {""box"": [0.5799999833106995, 126.7300033569336, 127.52999877929688, 161.50999450683594], ""score"": 0.15846538543701172}, {""box"": [305.69000244140625, 82.5999984741211, 372.1400146484375, 109.69999694824219], ""score"": 0.10364043712615967}]}, ""relations"": {}}",0,0,,1,1.5056276051327586,8062146048,item_00021
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_existence_002,existence,p2,equivalent,11,images/sd15/main_existence_002/p2/seed_11.png,26041a88e13cc0e128b63e64c08b69615fd326ede0ac1278d9561f08a0d81c99,1,1.0,11,"[""exists:apple"", ""exists:banana""]","{""exists:apple"": true, ""exists:banana"": true}","{""colors"": {}, ""detections"": {""apple"": [{""box"": [388.4599914550781, 110.08999633789062, 512.0, 295.0799865722656], ""score"": 0.8060010075569153}], ""banana"": [{""box"": [162.2899932861328, 117.5, 294.760009765625, 415.95001220703125], ""score"": 0.6317012906074524}, {""box"": [162.14999389648438, 151.2100067138672, 216.3800048828125, 384.6499938964844], ""score"": 0.4694203734397888}, {""box"": [186.77000427246094, 157.6199951171875, 243.9600067138672, 393.2799987792969], ""score"": 0.3743457794189453}, {""box"": [231.27000427246094, 173.38999938964844, 248.02000427246094, 333.8699951171875], ""score"": 0.32426610589027405}, {""box"": [232.2100067138672, 155.22999572753906, 282.2799987792969, 394.94000244140625], ""score"": 0.11543022096157074}]}, ""relations"": {}}",0,0,,0,0.8022991670295596,3439791104,item_00022
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_color_binding_013,color_binding,p0,equivalent,47,images/sd15/main_color_binding_013/p0/seed_47.png,16f5adcb30b0858b32bc19102907585af1a1b1d6d5628f95492dc20e5dd5c1ce,0,0.75,1011,"[""count:dog=1"", ""count:banana=1"", ""color:dog=blue"", ""color:banana=yellow""]","{""color:banana=yellow"": true, ""color:dog=blue"": true, ""count:banana=1"": false, ""count:dog=1"": true}","{""colors"": {""banana"": {""confidence"": 0.4925578534603119, ""label"": ""yellow"", ""margin"": 0.3302224278450012}, ""dog"": {""confidence"": 0.9873268008232117, ""label"": ""blue"", ""margin"": 0.9785381555557251}}, ""detections"": {""banana"": [{""box"": [0.17000000178813934, 73.47000122070312, 226.3800048828125, 275.3800048828125], ""score"": 0.6035059690475464}, {""box"": [0.47999998927116394, 156.07000732421875, 53.16999816894531, 271.5], ""score"": 0.34440362453460693}], ""dog"": [{""box"": [259.07000732421875, 18.170000076293945, 510.44000244140625, 477.9200134277344], ""score"": 0.7493090629577637}]}, ""relations"": {}}",0,0,0.0,1,0.8373103900812566,3439791104,item_00023
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_spatial_000,spatial,p0,equivalent,211,images/sdxl/main_spatial_000/p0/seed_211.png,181bfb81b075f1117269d2f2190cfa5369b443e1123799e595593e03a9fad2e5,1,1.0,111,"[""count:cat=1"", ""count:dog=1"", ""relation:cat:left_of:dog""]","{""count:cat=1"": true, ""count:dog=1"": true, ""relation:cat:left_of:dog"": true}","{""colors"": {}, ""detections"": {""cat"": [{""box"": [87.87000274658203, 215.80999755859375, 272.5400085449219, 509.489990234375], ""score"": 0.6396943926811218}], ""dog"": [{""box"": [341.5400085449219, 176.8800048828125, 484.0299987792969, 414.9700012207031], ""score"": 0.5353376865386963}]}, ""relations"": {""relation:cat:left_of:dog"": {""dx"": -0.4542578086256981, ""dy"": 0.13032224774360657}}}",0,0,0.0,1,1.500511053018272,8061359616,item_00024
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_count_022,count,p3,equivalent,47,images/pixart_sigma/main_count_022/p3/seed_47.png,4cbe1c3dfc362a6a6bd3229266b90ef46da6a74c6d4d32e60f0b0f9050845c3b,0,0.0,0,"[""count:clock=4""]","{""count:clock=4"": false}","{""colors"": {}, ""detections"": {""clock"": [{""box"": [288.79998779296875, 276.70001220703125, 501.2900085449219, 480.20001220703125], ""score"": 0.6643200516700745}, {""box"": [6.650000095367432, 266.0400085449219, 233.66000366210938, 485.75], ""score"": 0.6314162015914917}, {""box"": [6.46999979019165, 55.29999923706055, 239.41000366210938, 270.7099914550781], ""score"": 0.5791630744934082}, {""box"": [275.8299865722656, 69.56999969482422, 500.17999267578125, 280.3599853515625], ""score"": 0.566425085067749}, {""box"": [0.23999999463558197, 77.26000213623047, 65.13999938964844, 253.0500030517578], ""score"": 0.36560097336769104}, {""box"": [173.1999969482422, 69.55000305175781, 241.85000610351562, 258.54998779296875], ""score"": 0.15197375416755676}, {""box"": [4.46999979019165, 3.8399999141693115, 508.19000244140625, 488.20001220703125], ""score"": 0.13803406059741974}]}, ""relations"": {}}",0,0,,1,0.8678799387998879,13622855168,item_00025
