labels,model,metric,estimate,ci_low,ci_high,n_scenes,n_finite
human_primary,pixart_sigma,variance_wording,0.010233561197916666,0.006790033976236979,0.0140234629313151,16,16
human_primary,pixart_sigma,variance_seed,0.037373860677083336,0.026360702514648435,0.04812647501627604,16,16
human_primary,pixart_sigma,variance_interaction,0.05194091796875,0.04360949198404948,0.06063334147135417,16,16
human_primary,pixart_sigma,variance_total,0.09954833984375,0.08300145467122397,0.11623662312825521,16,16
human_primary,pixart_sigma,semantic_jsd,0.03901670683653772,0.026632361245697317,0.05184639528392105,16,16
human_primary,sd15,mean_accuracy,0.357421875,0.289013671875,0.41796875,16,16
human_primary,sd15,empirical_worst_accuracy,0.234375,0.1482421875,0.3125,16,16
human_primary,sd15,crossfit_worst_accuracy,0.3125,0.2109375,0.40625,16,16
human_primary,sd15,all_wordings_accuracy,0.15625,0.078125,0.21875,16,16
human_primary,sd15,wording_disagreement,0.2709418402777778,0.22676866319444444,0.3177110460069444,16,16
human_primary,sd15,seed_disagreement,0.3284505208333333,0.28579799107142856,0.37281436011904756,16,16
human_primary,sd15,variance_wording,0.018437703450520832,0.011600875854492189,0.025949223836263,16,16
human_primary,sd15,variance_seed,0.0605316162109375,0.04933598836263021,0.07152531941731771,16,16
human_primary,sd15,variance_interaction,0.08316548665364584,0.07031656901041668,0.09616686503092449,16,16
human_primary,sd15,variance_total,0.16213480631510416,0.13916231791178382,0.18575604756673175,16,16
human_primary,sd15,semantic_jsd,0.06511032248419685,0.05284847474782143,0.07910102411864606,16,16
human_primary,sdxl,mean_accuracy,0.33203125,0.287109375,0.37504882812499973,16,16
human_primary,sdxl,empirical_worst_accuracy,0.203125,0.140625,0.2578125,16,16
human_primary,sdxl,crossfit_worst_accuracy,0.3125,0.21875,0.40625,16,16
human_primary,sdxl,all_wordings_accuracy,0.1328125,0.09375,0.171875,16,16
human_primary,sdxl,wording_disagreement,0.2645399305555555,0.22276475694444445,0.29926486545138886,16,16
human_primary,sdxl,seed_disagreement,0.3952752976190476,0.36494721912202377,0.4265718005952381,16,16
human_primary,sdxl,variance_wording,0.015848795572916664,0.01086870829264323,0.02154197692871093,16,16
human_primary,sdxl,variance_seed,0.08957926432291667,0.07351137797037761,0.10641644795735676,16,16
human_primary,sdxl,variance_interaction,0.08335367838541667,0.07125256856282552,0.09384905497233073,16,16
human_primary,sdxl,variance_total,0.18878173828125,0.17502657572428387,0.20234731038411458,16,16
human_primary,sdxl,semantic_jsd,0.06352553216975924,0.04810092889100105,0.07877072304812778,16,16
